,time,sigma,label
614,10.1170305041278,3.4267579256217594e-08,RSF
615,10.1968085100536,3.434733524594588e-08,RSF
616,10.2384160304791,3.449342945235508e-08,RSF
617,10.2506916230008,3.4544766368768824e-08,RSF
618,10.3535962647618,3.455218141176492e-08,RSF
619,10.3538894929965,3.458552524678273e-08,RSF
620,10.5190976489081,3.456106997185709e-08,RSF
621,10.5827787467955,3.480629697248551e-08,RSF
622,10.6010517919631,3.478138122810314e-08,RSF
623,10.6149805377572,3.487619152063463e-08,RSF
624,10.6637816761549,3.5018208493713115e-08,RSF
625,10.8705180918721,3.514123035695486e-08,RSF
626,10.9286939529327,3.50887841076176e-08,RSF
627,10.9765478359518,3.5069008361128504e-08,RSF
628,10.9870123326007,3.541016870982868e-08,RSF
629,11.0352267768687,3.563508502230216e-08,RSF
630,11.1161675945138,3.573701952316962e-08,RSF
631,11.3315218048428,3.568539614537058e-08,RSF
632,11.3525458097953,3.577217522625648e-08,RSF
633,11.3701883185521,3.5862037826740965e-08,RSF
634,11.4158671154862,3.602667115908876e-08,RSF
635,11.6034317385403,3.622902689131588e-08,RSF
636,11.616385427037,3.625439623269302e-08,RSF
637,11.8095388276629,3.6182755230245914e-08,RSF
638,11.9071424665353,3.623193620150337e-08,RSF
639,11.9482203199577,3.6285094945907706e-08,RSF
640,11.9642723269607,3.6761541351720774e-08,RSF
641,11.9941590913111,3.6557071070833223e-08,RSF
642,12.1001919974374,3.674588696366473e-08,RSF
643,12.3200137787016,3.697090896448813e-08,RSF
644,12.3437082684785,3.721126864626351e-08,RSF
645,13.0104297082973,3.732941666274771e-08,RSF
646,13.0954017244967,3.752641285728577e-08,RSF
0,0.0,1.4225019173838404e-09,CPH
1,0.005716082995607,1.4383263775737754e-09,CPH
2,0.012596183109198,1.454163408506911e-09,CPH
3,0.0242759975366527,1.4700197358106918e-09,CPH
4,0.0375107657164335,1.4700197358106918e-09,CPH
5,0.0398202116264992,1.4859023304198831e-09,CPH
6,0.0409510172903538,1.4859023304198831e-09,CPH
7,0.0452550407499075,1.4859023304198831e-09,CPH
8,0.0540419430259313,1.5018304967959388e-09,CPH
9,0.0619023777544498,1.5018304967959388e-09,CPH
10,0.0766367530008554,1.5177922530703444e-09,CPH
11,0.0839640721678734,1.5177922530703444e-09,CPH
12,0.0958902820921388,1.5337888167154571e-09,CPH
13,0.102930702967571,1.5497984057040118e-09,CPH
14,0.121386079117656,1.5497984057040118e-09,CPH
15,0.14379849606822,1.5658487239108156e-09,CPH
16,0.164826881359793,1.581910104359397e-09,CPH
17,0.188828084617853,1.581910104359397e-09,CPH
18,0.195743844225025,1.5980122335192113e-09,CPH
19,0.197050649636993,1.6141212106561536e-09,CPH
20,0.205337421968579,1.6141212106561536e-09,CPH
21,0.206063205376267,1.6141212106561536e-09,CPH
22,0.208885990083218,1.6141212106561536e-09,CPH
23,0.20907942764461,1.6141212106561536e-09,CPH
24,0.248144483193755,1.6141212106561536e-09,CPH
25,0.257138304412365,1.6141212106561536e-09,CPH
26,0.259941894561052,1.6141212106561536e-09,CPH
27,0.265576943018298,1.6303713836173768e-09,CPH
28,0.271418266781667,1.6466366223941858e-09,CPH
29,0.272871014686315,1.66292448943258e-09,CPH
30,0.281606922471045,1.6792429366618346e-09,CPH
31,0.288929878826311,1.6955799348539948e-09,CPH
32,0.290980229594952,1.7119379392207463e-09,CPH
33,0.298450476669634,1.7283045796590027e-09,CPH
34,0.299928199499846,1.7283045796590027e-09,CPH
35,0.312850618734956,1.7283045796590027e-09,CPH
36,0.315458572805194,1.744719646630742e-09,CPH
37,0.321661405455074,1.7611564806337417e-09,CPH
38,0.325149047926669,1.7776192007945935e-09,CPH
39,0.367839311085278,1.794094991213021e-09,CPH
40,0.379570908844471,1.794094991213021e-09,CPH
41,0.393590364034165,1.810605325910764e-09,CPH
42,0.394187974897607,1.8271317781053475e-09,CPH
43,0.396678991570201,1.843674657635088e-09,CPH
44,0.41293188494788,1.8602261049426448e-09,CPH
45,0.415375813650064,1.8767852450851457e-09,CPH
46,0.417210504412651,1.8767852450851457e-09,CPH
47,0.437703149130707,1.893380519832617e-09,CPH
48,0.440352391451597,1.893380519832617e-09,CPH
49,0.446410451568595,1.910014614181308e-09,CPH
50,0.449527624994516,1.910014614181308e-09,CPH
51,0.456117438152432,1.910014614181308e-09,CPH
52,0.472277601363055,1.9266984054047533e-09,CPH
53,0.474510764185031,1.943391288664824e-09,CPH
54,0.476379498839378,1.943391288664824e-09,CPH
55,0.548885157331824,1.943391288664824e-09,CPH
56,0.566423906718254,1.960137915090714e-09,CPH
57,0.58224849610603,1.976898772592734e-09,CPH
58,0.590047838235091,1.993674432413932e-09,CPH
59,0.594169777137701,2.0104631351553575e-09,CPH
60,0.600173730663564,2.027270013442055e-09,CPH
61,0.613550506532192,2.027270013442055e-09,CPH
62,0.616200941506595,2.044114402361098e-09,CPH
63,0.618759596720338,2.044114402361098e-09,CPH
64,0.621186216204052,2.060988927155125e-09,CPH
65,0.62866816855967,2.060988927155125e-09,CPH
66,0.631645897536388,2.0778902208824262e-09,CPH
67,0.631707379594445,2.0778902208824262e-09,CPH
68,0.648270851022753,2.0948411203530918e-09,CPH
69,0.651386801003674,2.111819664263545e-09,CPH
70,0.660035015728511,2.1288215907102375e-09,CPH
71,0.674773403090897,2.145840097279867e-09,CPH
72,0.682968875393271,2.145840097279867e-09,CPH
73,0.683836001295257,2.16290003846635e-09,CPH
74,0.69829172075216,2.1799763428367166e-09,CPH
75,0.698292826688831,2.197070869291318e-09,CPH
76,0.720756792877842,2.2141756686005107e-09,CPH
77,0.724648950621486,2.2141756686005107e-09,CPH
78,0.74611996114254,2.2141756686005107e-09,CPH
79,0.756951847465032,2.231346857424981e-09,CPH
80,0.758214539336976,2.248545777591115e-09,CPH
81,0.75963319838047,2.248545777591115e-09,CPH
82,0.77160128327387,2.265787948568449e-09,CPH
83,0.777002891599459,2.2830462887943674e-09,CPH
84,0.785506067946169,2.300322840758368e-09,CPH
85,0.802971091032214,2.3176149420895892e-09,CPH
86,0.803260736167431,2.3176149420895892e-09,CPH
87,0.816405845806003,2.3176149420895892e-09,CPH
88,0.821325164533049,2.3349700885075263e-09,CPH
89,0.823203384876251,2.3349700885075263e-09,CPH
90,0.826929570390826,2.352361833736351e-09,CPH
91,0.83240267283678,2.3697711024830706e-09,CPH
92,0.844382118433714,2.3697711024830706e-09,CPH
93,0.855089828512985,2.387249132988777e-09,CPH
94,0.858250385150313,2.387249132988777e-09,CPH
95,0.867687213728091,2.40477707795971e-09,CPH
96,0.891678655520082,2.40477707795971e-09,CPH
97,0.91456021942914,2.422355218615852e-09,CPH
98,0.916937813269312,2.439961551443181e-09,CPH
99,0.923885073624501,2.4575842133321755e-09,CPH
100,0.928145480625946,2.4752432472090943e-09,CPH
101,0.964867042377591,2.4752432472090943e-09,CPH
102,0.972262400175684,2.4929402040555924e-09,CPH
103,0.979905545711517,2.4929402040555924e-09,CPH
104,0.981772058350663,2.510676383318996e-09,CPH
105,0.992767240852118,2.510676383318996e-09,CPH
106,1.0028574097758,2.528455414135717e-09,CPH
107,1.00433788051538,2.546252918959486e-09,CPH
108,1.01253861725628,2.5640771168140486e-09,CPH
109,1.02499014037383,2.5819174812497327e-09,CPH
110,1.03689597733319,2.5819174812497327e-09,CPH
111,1.03774160656269,2.5998054263119305e-09,CPH
112,1.05500054731965,2.5998054263119305e-09,CPH
113,1.05870762574353,2.6177302800558833e-09,CPH
114,1.07696279407655,2.6356824982611614e-09,CPH
115,1.09116928878223,2.6536596560072094e-09,CPH
116,1.10139225603171,2.671658635240867e-09,CPH
117,1.10622414961031,2.6896712955218885e-09,CPH
118,1.11831934377551,2.6896712955218885e-09,CPH
119,1.12319129412471,2.707737434154513e-09,CPH
120,1.13648249360513,2.7258228707533946e-09,CPH
121,1.13739764990816,2.743930412461452e-09,CPH
122,1.14229528605938,2.743930412461452e-09,CPH
123,1.14286130893576,2.7621104102204003e-09,CPH
124,1.15936389751732,2.7621104102204003e-09,CPH
125,1.16438231775507,2.7803423163291837e-09,CPH
126,1.16821193654481,2.798592588137796e-09,CPH
127,1.17084848596637,2.8168948784473233e-09,CPH
128,1.17469039186835,2.8168948784473233e-09,CPH
129,1.18032119864744,2.8352457984009474e-09,CPH
130,1.18649975760046,2.853606872332843e-09,CPH
131,1.18689439103408,2.871982113556742e-09,CPH
132,1.19144985276215,2.8903813892197833e-09,CPH
133,1.20168210189673,2.9087987172211742e-09,CPH
134,1.20328690297902,2.9087987172211742e-09,CPH
135,1.20826449775747,2.9272765129316296e-09,CPH
136,1.21435766554508,2.945771185757515e-09,CPH
137,1.23713203055304,2.9642929437336817e-09,CPH
138,1.24607807055027,2.982834556736701e-09,CPH
139,1.26309868879616,2.982834556736701e-09,CPH
140,1.26913966165672,3.001428227056455e-09,CPH
141,1.27869815379381,3.001428227056455e-09,CPH
142,1.28506921228606,3.0200654541041163e-09,CPH
143,1.30404437721226,3.038722042117211e-09,CPH
144,1.30577722750604,3.038722042117211e-09,CPH
145,1.31323319301009,3.038722042117211e-09,CPH
146,1.31511710885765,3.0574209791523874e-09,CPH
147,1.32073913425532,3.0761496329938286e-09,CPH
148,1.33936628883708,3.0949046805153433e-09,CPH
149,1.35054078762659,3.1136665898217314e-09,CPH
150,1.35228541865945,3.1136665898217314e-09,CPH
151,1.36451166455529,3.1324717608521363e-09,CPH
152,1.37537036463618,3.1324717608521363e-09,CPH
153,1.3785900964391,3.1513245920395906e-09,CPH
154,1.38942384906113,3.1513245920395906e-09,CPH
155,1.40038097463548,3.1513245920395906e-09,CPH
156,1.40821069478989,3.1513245920395906e-09,CPH
157,1.43049136597538,3.170261627859447e-09,CPH
158,1.43420697544791,3.1892266247229635e-09,CPH
159,1.43628084473312,3.1892266247229635e-09,CPH
160,1.45445034134727,3.2082449565539944e-09,CPH
161,1.46515171229839,3.2082449565539944e-09,CPH
162,1.46551722910605,3.22733046366425e-09,CPH
163,1.47636967998105,3.246447730630097e-09,CPH
164,1.47676350040889,3.2655968916236054e-09,CPH
165,1.4822338559149,3.284767092306684e-09,CPH
166,1.48493151696188,3.3039610930657277e-09,CPH
167,1.48502788004558,3.323171757997154e-09,CPH
168,1.48572726246977,3.3424154428617695e-09,CPH
169,1.49610835729227,3.361678628034484e-09,CPH
170,1.50430251034119,3.3809632740671054e-09,CPH
171,1.51537284627557,3.3809632740671054e-09,CPH
172,1.53115200432947,3.400294312924581e-09,CPH
173,1.53864050280069,3.4196408812902977e-09,CPH
174,1.5476044911225,3.4390168003522977e-09,CPH
